funder;fos;university;year;funding
EU;GEISTESWISSENSCHAFTEN;Universität für angewandte Kunst Wien;2016;22517
EU;GEISTESWISSENSCHAFTEN;Universität für Musik und darstellende Kunst Wien;2018;104670
EU;GEISTESWISSENSCHAFTEN;Universität für Musik und darstellende Kunst Wien;2017;0
EU;GEISTESWISSENSCHAFTEN;Universität für Musik und darstellende Kunst Wien;2016;0
EU;GEISTESWISSENSCHAFTEN;Universität für Weiterbildung Krems;2018;47730
EU;GEISTESWISSENSCHAFTEN;Universität für Weiterbildung Krems;2017;14215
EU;GEISTESWISSENSCHAFTEN;Universität für Weiterbildung Krems;2016;37881
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Universität Wien;2018;838692
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Universität Wien;2017;914008
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Universität Wien;2016;1195360
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Universität Innsbruck;2018;309100
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Universität Innsbruck;2017;654872
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Universität Innsbruck;2016;103370
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Medizinische Universität Wien;2018;6234731
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Medizinische Universität Wien;2017;7282408
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Medizinische Universität Wien;2016;5059325
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Medizinische Universität Graz;2018;1690897
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Medizinische Universität Graz;2017;1325134
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Medizinische Universität Graz;2016;1826419
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Medizinische Universität Innsbruck;2018;2676235
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Medizinische Universität Innsbruck;2017;3041631
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Medizinische Universität Innsbruck;2016;1986654
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Universität Salzburg;2018;604222
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Universität Salzburg;2017;752572
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Universität Salzburg;2016;630707
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Technische Universität Wien;2018;208403
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Technische Universität Wien;2017;187798
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Technische Universität Wien;2016;63183
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Technische Universität Graz;2018;0
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Technische Universität Graz;2017;0
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Technische Universität Graz;2016;2196
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Universität für Bodenkultur Wien;2018;306094
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Universität für Bodenkultur Wien;2017;330744
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Universität für Bodenkultur Wien;2016;295136
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Universität Linz;2018;24438
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Universität Linz;2017;0
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Universität Linz;2016;0
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Universität Klagenfurt;2018;106402
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Universität Klagenfurt;2017;0
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Universität Klagenfurt;2016;0
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Universität für Weiterbildung Krems;2018;153697
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Universität für Weiterbildung Krems;2017;100217
EU;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Universität für Weiterbildung Krems;2016;44779
EU;NATURWISSENSCHAFTEN;Universität Wien;2018;9076235
EU;NATURWISSENSCHAFTEN;Universität Wien;2017;9015804
EU;NATURWISSENSCHAFTEN;Universität Wien;2016;9686212
EU;NATURWISSENSCHAFTEN;Universität Graz;2018;1645690
EU;NATURWISSENSCHAFTEN;Universität Graz;2017;1737162
EU;NATURWISSENSCHAFTEN;Universität Graz;2016;1462744
EU;NATURWISSENSCHAFTEN;Universität Innsbruck;2018;5754259
EU;NATURWISSENSCHAFTEN;Universität Innsbruck;2017;3966846
EU;NATURWISSENSCHAFTEN;Universität Innsbruck;2016;4569411
EU;NATURWISSENSCHAFTEN;Medizinische Universität Graz;2018;410671
EU;NATURWISSENSCHAFTEN;Medizinische Universität Graz;2017;478153
EU;NATURWISSENSCHAFTEN;Medizinische Universität Graz;2016;479498
EU;NATURWISSENSCHAFTEN;Medizinische Universität Innsbruck;2018;479904
EU;NATURWISSENSCHAFTEN;Medizinische Universität Innsbruck;2017;259522
EU;NATURWISSENSCHAFTEN;Medizinische Universität Innsbruck;2016;245748
EU;NATURWISSENSCHAFTEN;Universität Salzburg;2018;2065024
EU;NATURWISSENSCHAFTEN;Universität Salzburg;2017;1634374
EU;NATURWISSENSCHAFTEN;Universität Salzburg;2016;1759179
EU;NATURWISSENSCHAFTEN;Technische Universität Wien;2018;7814606
EU;NATURWISSENSCHAFTEN;Technische Universität Wien;2017;6749003
EU;NATURWISSENSCHAFTEN;Technische Universität Wien;2016;7147988
EU;NATURWISSENSCHAFTEN;Technische Universität Graz;2018;7011167
EU;NATURWISSENSCHAFTEN;Technische Universität Graz;2017;6142268
EU;NATURWISSENSCHAFTEN;Technische Universität Graz;2016;6265865
EU;NATURWISSENSCHAFTEN;Montanuniversität Leoben;2018;268034
EU;NATURWISSENSCHAFTEN;Montanuniversität Leoben;2017;185010
EU;NATURWISSENSCHAFTEN;Montanuniversität Leoben;2016;160356
EU;NATURWISSENSCHAFTEN;Universität für Bodenkultur Wien;2018;3108533
EU;NATURWISSENSCHAFTEN;Universität für Bodenkultur Wien;2017;1749054
EU;NATURWISSENSCHAFTEN;Universität für Bodenkultur Wien;2016;5278600
EU;NATURWISSENSCHAFTEN;Veterinärmedizinische Universität Wien;2018;350724
EU;NATURWISSENSCHAFTEN;Veterinärmedizinische Universität Wien;2017;0
EU;NATURWISSENSCHAFTEN;Veterinärmedizinische Universität Wien;2016;273312
EU;NATURWISSENSCHAFTEN;Wirtschaftsuniversität Wien;2018;822200
EU;NATURWISSENSCHAFTEN;Wirtschaftsuniversität Wien;2017;16721
EU;NATURWISSENSCHAFTEN;Wirtschaftsuniversität Wien;2016;28249
EU;NATURWISSENSCHAFTEN;Universität Linz;2018;1903966
EU;NATURWISSENSCHAFTEN;Universität Linz;2017;3011920
EU;NATURWISSENSCHAFTEN;Universität Linz;2016;2143186
EU;NATURWISSENSCHAFTEN;Universität Klagenfurt;2018;414702
EU;NATURWISSENSCHAFTEN;Universität Klagenfurt;2017;365374
EU;NATURWISSENSCHAFTEN;Universität Klagenfurt;2016;372178
EU;NATURWISSENSCHAFTEN;Universität für angewandte Kunst Wien;2018;91396
EU;NATURWISSENSCHAFTEN;Universität für angewandte Kunst Wien;2017;125099
EU;NATURWISSENSCHAFTEN;Universität für angewandte Kunst Wien;2016;100767
EU;NATURWISSENSCHAFTEN;Universität für Musik und darstellende Kunst Wien;2018;149500
EU;NATURWISSENSCHAFTEN;Universität für Musik und darstellende Kunst Wien;2017;0
EU;NATURWISSENSCHAFTEN;Universität für Musik und darstellende Kunst Wien;2016;79720
EU;NATURWISSENSCHAFTEN;Universität für Musik und darstellende Kunst Graz;2018;0
EU;NATURWISSENSCHAFTEN;Universität für Musik und darstellende Kunst Graz;2017;1438
EU;NATURWISSENSCHAFTEN;Universität für Musik und darstellende Kunst Graz;2016;2892
EU;NATURWISSENSCHAFTEN;Universität für Weiterbildung Krems;2018;235998
EU;NATURWISSENSCHAFTEN;Universität für Weiterbildung Krems;2017;194324
EU;NATURWISSENSCHAFTEN;Universität für Weiterbildung Krems;2016;364628
EU;SOZIALWISSENSCHAFTEN;Universität Wien;2018;1396499
EU;SOZIALWISSENSCHAFTEN;Universität Wien;2017;1772604
EU;SOZIALWISSENSCHAFTEN;Universität Wien;2016;1570699
EU;SOZIALWISSENSCHAFTEN;Universität Graz;2018;1116418
EU;SOZIALWISSENSCHAFTEN;Universität Graz;2017;584652
EU;SOZIALWISSENSCHAFTEN;Universität Graz;2016;183476
EU;SOZIALWISSENSCHAFTEN;Universität Innsbruck;2018;1118849
EU;SOZIALWISSENSCHAFTEN;Universität Innsbruck;2017;775195
EU;SOZIALWISSENSCHAFTEN;Universität Innsbruck;2016;744572
EU;SOZIALWISSENSCHAFTEN;Medizinische Universität Graz;2018;8287
EU;SOZIALWISSENSCHAFTEN;Medizinische Universität Graz;2017;10970
EU;SOZIALWISSENSCHAFTEN;Medizinische Universität Graz;2016;10036
EU;SOZIALWISSENSCHAFTEN;Medizinische Universität Innsbruck;2018;9175
EU;SOZIALWISSENSCHAFTEN;Medizinische Universität Innsbruck;2017;61683
EU;SOZIALWISSENSCHAFTEN;Medizinische Universität Innsbruck;2016;32050
EU;SOZIALWISSENSCHAFTEN;Universität Salzburg;2018;399923
EU;SOZIALWISSENSCHAFTEN;Universität Salzburg;2017;1743453
EU;SOZIALWISSENSCHAFTEN;Universität Salzburg;2016;309546
EU;SOZIALWISSENSCHAFTEN;Technische Universität Wien;2018;331792
EU;SOZIALWISSENSCHAFTEN;Technische Universität Wien;2017;438350
EU;SOZIALWISSENSCHAFTEN;Technische Universität Wien;2016;265855
EU;SOZIALWISSENSCHAFTEN;Technische Universität Graz;2018;0
EU;SOZIALWISSENSCHAFTEN;Technische Universität Graz;2017;0
EU;SOZIALWISSENSCHAFTEN;Technische Universität Graz;2016;46000
EU;SOZIALWISSENSCHAFTEN;Montanuniversität Leoben;2018;12265
EU;SOZIALWISSENSCHAFTEN;Montanuniversität Leoben;2017;3536
EU;SOZIALWISSENSCHAFTEN;Montanuniversität Leoben;2016;20593
EU;SOZIALWISSENSCHAFTEN;Universität für Bodenkultur Wien;2018;920551
EU;SOZIALWISSENSCHAFTEN;Universität für Bodenkultur Wien;2017;667661
EU;SOZIALWISSENSCHAFTEN;Universität für Bodenkultur Wien;2016;642151
EU;SOZIALWISSENSCHAFTEN;Wirtschaftsuniversität Wien;2018;1248073
EU;SOZIALWISSENSCHAFTEN;Wirtschaftsuniversität Wien;2017;2022052
EU;SOZIALWISSENSCHAFTEN;Wirtschaftsuniversität Wien;2016;1890466
EU;SOZIALWISSENSCHAFTEN;Universität Linz;2018;44866
EU;SOZIALWISSENSCHAFTEN;Universität Linz;2017;140682
EU;SOZIALWISSENSCHAFTEN;Universität Linz;2016;32202
EU;SOZIALWISSENSCHAFTEN;Universität Klagenfurt;2018;276296
EU;SOZIALWISSENSCHAFTEN;Universität Klagenfurt;2017;239662
EU;SOZIALWISSENSCHAFTEN;Universität Klagenfurt;2016;489621
EU;SOZIALWISSENSCHAFTEN;Universität für angewandte Kunst Wien;2018;0
EU;SOZIALWISSENSCHAFTEN;Universität für angewandte Kunst Wien;2017;0
EU;SOZIALWISSENSCHAFTEN;Universität für angewandte Kunst Wien;2016;11259
EU;SOZIALWISSENSCHAFTEN;Universität für Weiterbildung Krems;2018;137728
EU;SOZIALWISSENSCHAFTEN;Universität für Weiterbildung Krems;2017;95375
EU;SOZIALWISSENSCHAFTEN;Universität für Weiterbildung Krems;2016;292920
EU;TECHNISCHE WISSENSCHAFTEN;Universität Wien;2018;390855
EU;TECHNISCHE WISSENSCHAFTEN;Universität Wien;2017;324841
EU;TECHNISCHE WISSENSCHAFTEN;Universität Wien;2016;674599
EU;TECHNISCHE WISSENSCHAFTEN;Universität Innsbruck;2018;667016
EU;TECHNISCHE WISSENSCHAFTEN;Universität Innsbruck;2017;565823
EU;TECHNISCHE WISSENSCHAFTEN;Universität Innsbruck;2016;431553
EU;TECHNISCHE WISSENSCHAFTEN;Medizinische Universität Wien;2018;2113112
EU;TECHNISCHE WISSENSCHAFTEN;Medizinische Universität Wien;2017;1135249
EU;TECHNISCHE WISSENSCHAFTEN;Medizinische Universität Wien;2016;1329697
EU;TECHNISCHE WISSENSCHAFTEN;Medizinische Universität Graz;2018;39945
EU;TECHNISCHE WISSENSCHAFTEN;Medizinische Universität Graz;2017;53065
EU;TECHNISCHE WISSENSCHAFTEN;Medizinische Universität Graz;2016;62707
EU;TECHNISCHE WISSENSCHAFTEN;Medizinische Universität Innsbruck;2018;4171
EU;TECHNISCHE WISSENSCHAFTEN;Medizinische Universität Innsbruck;2017;8445
EU;TECHNISCHE WISSENSCHAFTEN;Medizinische Universität Innsbruck;2016;1347
EU;TECHNISCHE WISSENSCHAFTEN;Universität Salzburg;2018;0
EU;TECHNISCHE WISSENSCHAFTEN;Universität Salzburg;2017;0
EU;TECHNISCHE WISSENSCHAFTEN;Universität Salzburg;2016;314014
EU;TECHNISCHE WISSENSCHAFTEN;Technische Universität Wien;2018;6377599
EU;TECHNISCHE WISSENSCHAFTEN;Technische Universität Wien;2017;6150533
EU;TECHNISCHE WISSENSCHAFTEN;Technische Universität Wien;2016;8857032
EU;TECHNISCHE WISSENSCHAFTEN;Technische Universität Graz;2018;4004851
EU;TECHNISCHE WISSENSCHAFTEN;Technische Universität Graz;2017;2354969
EU;TECHNISCHE WISSENSCHAFTEN;Technische Universität Graz;2016;2968690
EU;TECHNISCHE WISSENSCHAFTEN;Montanuniversität Leoben;2018;3180100
EU;TECHNISCHE WISSENSCHAFTEN;Montanuniversität Leoben;2017;2108469
EU;TECHNISCHE WISSENSCHAFTEN;Montanuniversität Leoben;2016;2206927
EU;TECHNISCHE WISSENSCHAFTEN;Universität für Bodenkultur Wien;2018;1816911
EU;TECHNISCHE WISSENSCHAFTEN;Universität für Bodenkultur Wien;2017;1203694
EU;TECHNISCHE WISSENSCHAFTEN;Universität für Bodenkultur Wien;2016;4329605
EU;TECHNISCHE WISSENSCHAFTEN;Universität Linz;2018;304349
EU;TECHNISCHE WISSENSCHAFTEN;Universität Linz;2017;852867
EU;TECHNISCHE WISSENSCHAFTEN;Universität Linz;2016;306623
EU;TECHNISCHE WISSENSCHAFTEN;Universität Klagenfurt;2018;119856
EU;TECHNISCHE WISSENSCHAFTEN;Universität Klagenfurt;2017;80638
EU;TECHNISCHE WISSENSCHAFTEN;Universität Klagenfurt;2016;74942
EU;TECHNISCHE WISSENSCHAFTEN;Universität für Musik und darstellende Kunst Graz;2018;0
EU;TECHNISCHE WISSENSCHAFTEN;Universität für Musik und darstellende Kunst Graz;2017;1438
EU;TECHNISCHE WISSENSCHAFTEN;Universität für Musik und darstellende Kunst Graz;2016;2892
EU;TECHNISCHE WISSENSCHAFTEN;Universität für Weiterbildung Krems;2018;155401
EU;TECHNISCHE WISSENSCHAFTEN;Universität für Weiterbildung Krems;2017;103176
EU;TECHNISCHE WISSENSCHAFTEN;Universität für Weiterbildung Krems;2016;140072
Bund (Ministerien);AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Universität Wien;2018;16785
Bund (Ministerien);AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Universität Wien;2017;15189
Bund (Ministerien);AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Universität Wien;2016;3661
Bund (Ministerien);AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Medizinische Universität Graz;2018;44201
Bund (Ministerien);AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Medizinische Universität Graz;2017;428
Bund (Ministerien);AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Medizinische Universität Graz;2016;0
Bund (Ministerien);AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Technische Universität Graz;2018;0
Bund (Ministerien);AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Technische Universität Graz;2017;9208
Bund (Ministerien);AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Technische Universität Graz;2016;2697
Bund (Ministerien);AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Universität für Bodenkultur Wien;2018;1000752
Bund (Ministerien);AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Universität für Bodenkultur Wien;2017;549332
Bund (Ministerien);AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Universität für Bodenkultur Wien;2016;783288
Bund (Ministerien);AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Veterinärmedizinische Universität Wien;2018;374422
Bund (Ministerien);AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Veterinärmedizinische Universität Wien;2017;272779
Bund (Ministerien);AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Veterinärmedizinische Universität Wien;2016;310133
Bund (Ministerien);AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Universität Klagenfurt;2018;10768
Bund (Ministerien);AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Universität Klagenfurt;2017;9426
Bund (Ministerien);AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Universität Klagenfurt;2016;16033
Bund (Ministerien);BILDENDE KUNST / GESTALTENDE KUNST;Universität für angewandte Kunst Wien;2018;136515
Bund (Ministerien);BILDENDE KUNST / GESTALTENDE KUNST;Universität für angewandte Kunst Wien;2017;137777
Bund (Ministerien);BILDENDE KUNST / GESTALTENDE KUNST;Universität für angewandte Kunst Wien;2016;124733
Bund (Ministerien);BILDENDE KUNST / GESTALTENDE KUNST;Universität für künstlerische und industrielle Gestaltung Linz;2018;407515
Bund (Ministerien);BILDENDE KUNST / GESTALTENDE KUNST;Universität für künstlerische und industrielle Gestaltung Linz;2017;26962
Bund (Ministerien);BILDENDE KUNST / GESTALTENDE KUNST;Universität für künstlerische und industrielle Gestaltung Linz;2016;163762
Bund (Ministerien);BILDENDE KUNST / GESTALTENDE KUNST;Akademie der bildenden Künste Wien;2018;64032
Bund (Ministerien);BILDENDE KUNST / GESTALTENDE KUNST;Akademie der bildenden Künste Wien;2017;52898
Bund (Ministerien);BILDENDE KUNST / GESTALTENDE KUNST;Akademie der bildenden Künste Wien;2016;179935
Bund (Ministerien);BILDENDE KUNST / GESTALTENDE KUNST;Universität für Weiterbildung Krems;2018;1830
Bund (Ministerien);BILDENDE KUNST / GESTALTENDE KUNST;Universität für Weiterbildung Krems;2017;29766
Bund (Ministerien);BILDENDE KUNST / GESTALTENDE KUNST;Universität für Weiterbildung Krems;2016;17056
Bund (Ministerien);DARSTELLENDE KUNST;Universität Linz;2018;51026
Bund (Ministerien);DARSTELLENDE KUNST;Universität Linz;2017;161308
Bund (Ministerien);DARSTELLENDE KUNST;Universität Linz;2016;128567
Bund (Ministerien);DARSTELLENDE KUNST;Universität für Musik und darstellende Kunst Wien;2018;25085
Bund (Ministerien);DARSTELLENDE KUNST;Universität für Musik und darstellende Kunst Wien;2017;15000
Bund (Ministerien);DARSTELLENDE KUNST;Universität für Musik und darstellende Kunst Wien;2016;25000
Bund (Ministerien);DARSTELLENDE KUNST;Universität für Musik und darstellende Kunst Graz;2018;96520
Bund (Ministerien);DARSTELLENDE KUNST;Universität für Musik und darstellende Kunst Graz;2017;129407
Bund (Ministerien);DARSTELLENDE KUNST;Universität für Musik und darstellende Kunst Graz;2016;55306
Bund (Ministerien);DARSTELLENDE KUNST;Universität für künstlerische und industrielle Gestaltung Linz;2018;88248
Bund (Ministerien);DARSTELLENDE KUNST;Universität für künstlerische und industrielle Gestaltung Linz;2017;5709
Bund (Ministerien);DARSTELLENDE KUNST;Universität für künstlerische und industrielle Gestaltung Linz;2016;4070
Bund (Ministerien);DARSTELLENDE KUNST;Universität für Weiterbildung Krems;2018;0
Bund (Ministerien);DARSTELLENDE KUNST;Universität für Weiterbildung Krems;2017;34710
Bund (Ministerien);DARSTELLENDE KUNST;Universität für Weiterbildung Krems;2016;15048
Bund (Ministerien);GEISTESWISSENSCHAFTEN;Universität Wien;2018;657337
Bund (Ministerien);GEISTESWISSENSCHAFTEN;Universität Wien;2017;640728
Bund (Ministerien);GEISTESWISSENSCHAFTEN;Universität Wien;2016;666847
Bund (Ministerien);GEISTESWISSENSCHAFTEN;Universität Graz;2018;466246
Bund (Ministerien);GEISTESWISSENSCHAFTEN;Universität Graz;2017;206076
Bund (Ministerien);GEISTESWISSENSCHAFTEN;Universität Graz;2016;10460
Bund (Ministerien);GEISTESWISSENSCHAFTEN;Universität Innsbruck;2018;27219
Bund (Ministerien);GEISTESWISSENSCHAFTEN;Universität Innsbruck;2017;33235
Bund (Ministerien);GEISTESWISSENSCHAFTEN;Universität Innsbruck;2016;22167
Bund (Ministerien);GEISTESWISSENSCHAFTEN;Universität Salzburg;2018;3744
Bund (Ministerien);GEISTESWISSENSCHAFTEN;Universität Salzburg;2017;89192
Bund (Ministerien);GEISTESWISSENSCHAFTEN;Universität Salzburg;2016;21373
Bund (Ministerien);GEISTESWISSENSCHAFTEN;Technische Universität Wien;2018;8765
Bund (Ministerien);GEISTESWISSENSCHAFTEN;Technische Universität Wien;2017;4061
Bund (Ministerien);GEISTESWISSENSCHAFTEN;Technische Universität Wien;2016;28510
Bund (Ministerien);GEISTESWISSENSCHAFTEN;Universität für Bodenkultur Wien;2018;2696
